"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Andre Iguodala",3900,"TOR@GS 10/25/2017 10:30PM ET",17.500,"GS"
"SG/SF","C.J. Miles",3900,"TOR@GS 10/25/2017 10:30PM ET",19.667,"TOR"
"PG/SG","Delon Wright",3900,"TOR@GS 10/25/2017 10:30PM ET",22.167,"TOR"
"PG/SG","Iman Shumpert",3900,"CLE@BKN 10/25/2017 07:30PM ET",16.583,"CLE"
"PG","Emmanuel Mudiay",3900,"DEN@CHA 10/25/2017 07:00PM ET",19.667,"DEN"
"PF/C","Richaun Holmes",3900,"HOU@PHI 10/25/2017 07:00PM ET",0,"PHI"
"PF/C","Al Jefferson",3900,"IND@OKC 10/25/2017 08:00PM ET",20.000,"IND"
"PF/C","Jarell Martin",3900,"MEM@DAL 10/25/2017 08:30PM ET",15.250,"MEM"
"PG","Ish Smith",3800,"MIN@DET 10/25/2017 07:00PM ET",16.375,"DET"
"SG/SF","Stanley Johnson",3800,"MIN@DET 10/25/2017 07:00PM ET",14.313,"DET"
"C","Ivica Zubac",3800,"WAS@LAL 10/25/2017 10:30PM ET",0,"LAL"
"PG/SG","Donovan Mitchell",3800,"UTA@PHO 10/25/2017 10:00PM ET",13.917,"UTA"
"SF/PF","Juancho Hernangomez",3800,"DEN@CHA 10/25/2017 07:00PM ET",0.000,"DEN"
"SF/PF","Marvin Williams",3800,"DEN@CHA 10/25/2017 07:00PM ET",11.417,"CHA"
"SG/SF","Glenn Robinson III",3800,"IND@OKC 10/25/2017 08:00PM ET",0,"IND"
"PG","Cory Joseph",3800,"IND@OKC 10/25/2017 08:00PM ET",17.250,"IND"
"PG","Tim Frazier",3700,"WAS@LAL 10/25/2017 10:30PM ET",12.583,"WAS"
"SG/SF","Joe Johnson",3700,"UTA@PHO 10/25/2017 10:00PM ET",15.500,"UTA"
"SG","Nick Young",3700,"TOR@GS 10/25/2017 10:30PM ET",12.875,"GS"
"SF/PF","Luc Richard Mbah a Moute",3700,"HOU@PHI 10/25/2017 07:00PM ET",13.813,"HOU"
"SG/SF","Andre Roberson",3700,"IND@OKC 10/25/2017 08:00PM ET",8.417,"OKC"
"PG","Mario Chalmers",3700,"MEM@DAL 10/25/2017 08:30PM ET",18.500,"MEM"
"PG","Tony Parker",3700,"SA@MIA 10/25/2017 08:00PM ET",0,"SA"
"PF/C","Gorgui Dieng",3600,"MIN@DET 10/25/2017 07:00PM ET",10.750,"MIN"
"PG/SG","Shaun Livingston",3600,"TOR@GS 10/25/2017 10:30PM ET",11.875,"GS"
"PF/C","Jarrett Allen",3600,"CLE@BKN 10/25/2017 07:30PM ET",16.250,"BKN"
"SG/SF","Manu Ginobili",3600,"SA@MIA 10/25/2017 08:00PM ET",18.000,"SA"
"SF/PF","Jonas Jerebko",3500,"UTA@PHO 10/25/2017 10:00PM ET",0,"UTA"
"SG/SF","Thabo Sefolosha",3500,"UTA@PHO 10/25/2017 10:00PM ET",16.583,"UTA"
"PF/C","Brandan Wright",3500,"MEM@DAL 10/25/2017 08:30PM ET",11.750,"MEM"
"SG/SF","Ben McLemore",3500,"MEM@DAL 10/25/2017 08:30PM ET",0,"MEM"
"SG/SF","Wayne Ellington",3500,"SA@MIA 10/25/2017 08:00PM ET",16.583,"MIA"
"PG","Patty Mills",3500,"SA@MIA 10/25/2017 08:00PM ET",10.167,"SA"
"PF/C","Jon Leuer",3400,"MIN@DET 10/25/2017 07:00PM ET",11.500,"DET"
"C","Boban Marjanovic",3400,"MIN@DET 10/25/2017 07:00PM ET",4.000,"DET"
"C","Alan Williams",3400,"UTA@PHO 10/25/2017 10:00PM ET",0,"PHO"
"PG/SG","Alec Burks",3400,"UTA@PHO 10/25/2017 10:00PM ET",13.833,"UTA"
"C","Zaza Pachulia",3400,"TOR@GS 10/25/2017 10:30PM ET",13.188,"GS"
"SG/SF","Joe Harris",3400,"CLE@BKN 10/25/2017 07:30PM ET",16.000,"BKN"
"SG/SF","Dwayne Bacon",3400,"DEN@CHA 10/25/2017 07:00PM ET",16.083,"CHA"
"C","Nene Hilario",3400,"HOU@PHI 10/25/2017 07:00PM ET",15.750,"HOU"
"PG/SG","Andrew Harrison",3400,"MEM@DAL 10/25/2017 08:30PM ET",8.167,"MEM"
"SG","Jodie Meeks",3300,"WAS@LAL 10/25/2017 10:30PM ET",11.583,"WAS"
"SG/SF","Patrick McCaw",3300,"TOR@GS 10/25/2017 10:30PM ET",6.333,"GS"
"PF/C","Jordan Bell",3300,"TOR@GS 10/25/2017 10:30PM ET",9.688,"GS"
"SG/SF","Kyle Korver",3300,"CLE@BKN 10/25/2017 07:30PM ET",10.667,"CLE"
"C","Timofey Mozgov",3300,"CLE@BKN 10/25/2017 07:30PM ET",10.500,"BKN"
"PF/C","Mason Plumlee",3300,"DEN@CHA 10/25/2017 07:00PM ET",11.333,"DEN"
"PG/SG","Malik Monk",3300,"DEN@CHA 10/25/2017 07:00PM ET",6.333,"CHA"
"PF/C","Tarik Black",3300,"HOU@PHI 10/25/2017 07:00PM ET",17.500,"HOU"
"PG","Bobby Brown",3300,"HOU@PHI 10/25/2017 07:00PM ET",3.000,"HOU"
"PF/C","Amir Johnson",3300,"HOU@PHI 10/25/2017 07:00PM ET",10.750,"PHI"
"SF/PF","Chandler Parsons",3300,"MEM@DAL 10/25/2017 08:30PM ET",11.333,"MEM"
"PG/SG","Josh Hart",3200,"WAS@LAL 10/25/2017 10:30PM ET",6.000,"LAL"
"SG/SF","Corey Brewer",3200,"WAS@LAL 10/25/2017 10:30PM ET",9.250,"LAL"
"PG","Michael Carter-Williams",3200,"DEN@CHA 10/25/2017 07:00PM ET",0,"CHA"
"SG/SF","Timothe Luwawu-Cabarrot",3200,"HOU@PHI 10/25/2017 07:00PM ET",7.938,"PHI"
"PG/SG","Langston Galloway",3100,"MIN@DET 10/25/2017 07:00PM ET",16.083,"DET"
"SF/PF","Nemanja Bjelica",3100,"MIN@DET 10/25/2017 07:00PM ET",11.917,"MIN"
"PF/C","Thomas Bryant",3100,"WAS@LAL 10/25/2017 10:30PM ET",0,"LAL"
"SF/PF","Luol Deng",3100,"WAS@LAL 10/25/2017 10:30PM ET",5.000,"LAL"
"PF/C","Patrick Patterson",3100,"IND@OKC 10/25/2017 08:00PM ET",2.667,"OKC"
"SF/PF","Jerami Grant",3100,"IND@OKC 10/25/2017 08:00PM ET",13.917,"OKC"
"SG/SF","Alex Abrines",3100,"IND@OKC 10/25/2017 08:00PM ET",10.083,"OKC"
"PF/C","Dwight Powell",3100,"MEM@DAL 10/25/2017 08:30PM ET",12.563,"DAL"
"PG","Gian Clavell",3100,"MEM@DAL 10/25/2017 08:30PM ET",10.250,"DAL"
"PF/C","Eric Moreland",3000,"MIN@DET 10/25/2017 07:00PM ET",5.000,"DET"
"SG","Luke Kennard",3000,"MIN@DET 10/25/2017 07:00PM ET",11.000,"DET"
"SF","Luis Montero",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"DET"
"SG/SF","Reggie Bullock",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"DET"
"PG","Dwight Buycks",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"DET"
"PF/C","Henry Ellenson",3000,"MIN@DET 10/25/2017 07:00PM ET",11.000,"DET"
"SF/PF","Anthony Tolliver",3000,"MIN@DET 10/25/2017 07:00PM ET",14.250,"DET"
"SG/SF","Shabazz Muhammad",3000,"MIN@DET 10/25/2017 07:00PM ET",4.833,"MIN"
"C","Justin Patton",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"MIN"
"PG/SG","Tyus Jones",3000,"MIN@DET 10/25/2017 07:00PM ET",6.583,"MIN"
"SG/SF","Anthony Brown",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"MIN"
"C","Cole Aldrich",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"MIN"
"PG/SG","Aaron Brooks",3000,"MIN@DET 10/25/2017 07:00PM ET",0,"MIN"
"PG/SG","Tyler Ennis",3000,"WAS@LAL 10/25/2017 10:30PM ET",3.000,"LAL"
"C","Andrew Bogut",3000,"WAS@LAL 10/25/2017 10:30PM ET",7.000,"LAL"
"PG/SG","Vander Blue",3000,"WAS@LAL 10/25/2017 10:30PM ET",0,"LAL"
"PG/SG","Alex Caruso",3000,"WAS@LAL 10/25/2017 10:30PM ET",4.750,"LAL"
"PF/C","Chris McCullough",3000,"WAS@LAL 10/25/2017 10:30PM ET",0,"WAS"
"PF","Mike Young",3000,"WAS@LAL 10/25/2017 10:30PM ET",0,"WAS"
"SG/SF","Carrick Felix",3000,"WAS@LAL 10/25/2017 10:30PM ET",0,"WAS"
"PF","Mike Scott",3000,"WAS@LAL 10/25/2017 10:30PM ET",8.250,"WAS"
"SG","Sheldon Mac",3000,"WAS@LAL 10/25/2017 10:30PM ET",0,"WAS"
"PG/SG","Tomas Satoransky",3000,"WAS@LAL 10/25/2017 10:30PM ET",6.750,"WAS"
"SG","Devin Robinson",3000,"WAS@LAL 10/25/2017 10:30PM ET",0,"WAS"
"SG","Davon Reed",3000,"UTA@PHO 10/25/2017 10:00PM ET",0,"PHO"
"PF","Jared Dudley",3000,"UTA@PHO 10/25/2017 10:00PM ET",-0.500,"PHO"
"SF/PF","Alec Peters",3000,"UTA@PHO 10/25/2017 10:00PM ET",5.625,"PHO"
"SF","Derrick Jones Jr.",3000,"UTA@PHO 10/25/2017 10:00PM ET",5.375,"PHO"
"PG/SG","Brandon Knight",3000,"UTA@PHO 10/25/2017 10:00PM ET",0,"PHO"
"SG","Troy Daniels",3000,"UTA@PHO 10/25/2017 10:00PM ET",6.938,"PHO"
"PF/C","Dragan Bender",3000,"UTA@PHO 10/25/2017 10:00PM ET",11.500,"PHO"
"PG","Raul Neto",3000,"UTA@PHO 10/25/2017 10:00PM ET",7.750,"UTA"
"PG","Nate Wolters",3000,"UTA@PHO 10/25/2017 10:00PM ET",0,"UTA"
"PF/C","Ekpe Udoh",3000,"UTA@PHO 10/25/2017 10:00PM ET",11.500,"UTA"
"SF","Royce O'Neale",3000,"UTA@PHO 10/25/2017 10:00PM ET",0.625,"UTA"
"PG/SG","Dante Exum",3000,"UTA@PHO 10/25/2017 10:00PM ET",0,"UTA"
"SF/PF","Eric Griffin",3000,"UTA@PHO 10/25/2017 10:00PM ET",0,"UTA"
"PF/C","Tony Bradley",3000,"UTA@PHO 10/25/2017 10:00PM ET",0,"UTA"
"C","JaVale McGee",3000,"TOR@GS 10/25/2017 10:30PM ET",9.333,"GS"
"SF/PF","Omri Casspi",3000,"TOR@GS 10/25/2017 10:30PM ET",1.625,"GS"
"PG","Quinn Cook",3000,"TOR@GS 10/25/2017 10:30PM ET",2.000,"GS"
"PF/C","David West",3000,"TOR@GS 10/25/2017 10:30PM ET",13.813,"GS"
"PF","Chris Boucher",3000,"TOR@GS 10/25/2017 10:30PM ET",0,"GS"
"C","Damian Jones",3000,"TOR@GS 10/25/2017 10:30PM ET",0,"GS"
"SF/PF","Kevon Looney",3000,"TOR@GS 10/25/2017 10:30PM ET",5.500,"GS"
"PG","Fred VanVleet",3000,"TOR@GS 10/25/2017 10:30PM ET",9.083,"TOR"
"SF","Bruno Caboclo",3000,"TOR@GS 10/25/2017 10:30PM ET",4.750,"TOR"
"PF","Alfonzo McKinnie",3000,"TOR@GS 10/25/2017 10:30PM ET",0.000,"TOR"
"PF","Malcolm Miller",3000,"TOR@GS 10/25/2017 10:30PM ET",0,"TOR"
"SF/PF","OG Anunoby",3000,"TOR@GS 10/25/2017 10:30PM ET",11.750,"TOR"
"PG","Lorenzo Brown",3000,"TOR@GS 10/25/2017 10:30PM ET",0,"TOR"
"PF","Pascal Siakam",3000,"TOR@GS 10/25/2017 10:30PM ET",8.250,"TOR"
"PF/C","Channing Frye",3000,"CLE@BKN 10/25/2017 07:30PM ET",6.500,"CLE"
"PG","London Perrantes",3000,"CLE@BKN 10/25/2017 07:30PM ET",0,"CLE"
"SG/SF","John Holland",3000,"CLE@BKN 10/25/2017 07:30PM ET",0,"CLE"
"PG","Jose Calderon",3000,"CLE@BKN 10/25/2017 07:30PM ET",3.250,"CLE"
